Ticker,Sector,Gap_Pct,Probability,Model
ABAT,Industrials,0.07142855057563488,0.7273666887260994,Non-Tech
RXRX,Healthcare,0.04051173878515111,0.5605016086284014,Non-Tech
CELH,Consumer Defensive,0.010454271634285608,0.5602562647313539,Non-Tech
UAMY,Basic Materials,0.01935485101515247,0.5557847925395911,Non-Tech
TSLA,Consumer Cyclical,0.006708407688081972,0.534942083449733,Non-Tech
CEG,Utilities,0.0073156910932645845,0.5240436528022105,Non-Tech
UUUU,Energy,0.007209031364491867,0.5239051817499304,Non-Tech
DDOG,Technology,0.012509957727683018,0.5206123393180181,Tech
ADBE,Technology,0.039783232927515406,0.5196405281324551,Tech
QCOM,Technology,0.009740460256202546,0.5169511228778526,Tech
MSFT,Technology,0.008509091828619947,0.5147712939756405,Tech
MRVL,Technology,0.0071041097677375376,0.5137189518952657,Tech
GLD,Unknown,0.010435675463152357,0.5026323929436661,Non-Tech
