Ticker,Tag,Gap%,Price,Status,Action,Sell%,Mom%,Dip%,ATR%
OPEN,,0.08553657641441739,6.98,🔴 SELL RIP,STRONG SELL,72%,27%,64%,0.0794053045567046
OSCR,,0.0721893733140703,18.12,🔴 SELL RIP,STRONG SELL,59%,38%,55%,0.05171846498068655
ONDS,[HOLD],0.0513918457784086,14.73,🚀 ROCKET,HOLD/BUY,29%,70%,52%,0.08289410736468915
REMX,,0.02910858872759454,84.85,🟢 MOMENTUM,HOLD,37%,61%,51%,0.031009635072419786
NVO,,0.025462152834441757,58.8,🟢 MOMENTUM,HOLD,22%,78%,55%,0.029130700984674147
KTOS,,0.02441367802884722,106.58,🟢 MOMENTUM,HOLD,41%,67%,57%,0.052854875166116484
WWR,[HOLD],0.02087909145756086,0.929,🔴 GAP UP,SELL/TRIM,57%,43%,66%,0.10001130510666102
LEU,[HOLD],0.018445414847161477,291.53,🔴 GAP UP,SELL/TRIM,52%,48%,63%,0.07911558915169732
LRCX,,0.016968516979540445,204.37,🟢 MOMENTUM,HOLD,27%,73%,54%,0.037985726134142174
MP,[HOLD],0.015394670906774011,62.0,🔴 GAP UP,SELL/TRIM,48%,50%,58%,0.056407467750922605
RCAT,[HOLD],0.01521556022441253,12.01,🔴 GAP UP,SELL/TRIM,49%,52%,54%,0.07823571006372806
ACHR,,0.01377726306859547,8.83,🔴 GAP UP,SELL/TRIM,51%,47%,58%,0.05564168985793819
UAMY,[HOLD],0.013495297523226639,7.51,🟢 MOMENTUM,HOLD,36%,67%,61%,0.10831125371841299
SIVR,,0.013251408363359333,74.17,🟢 MOMENTUM,HOLD,33%,67%,60%,0.047212810160885084
RXRX,,0.012765998546762565,4.76,🔴 GAP UP,SELL/TRIM,47%,50%,62%,0.0591521788132294
SOUN,,0.011796691182961144,11.15,🔴 GAP UP,SELL/TRIM,69%,32%,62%,0.05757706637456868
ABNB,,0.010673563383837119,140.14,🟢 MOMENTUM,HOLD,30%,68%,55%,0.021512816217803814
GRAB,,0.010225386145262173,4.9299,🔴 GAP UP,SELL/TRIM,77%,23%,60%,0.03687226410491534
TTD,,0.006970529980095113,37.56,🔴 GAP UP,SELL/TRIM,79%,21%,64%,0.03596732056967061
GLW,,0.006914310984235704,85.92,🔴 GAP UP,SELL/TRIM,71%,28%,60%,0.03686748414461481
MRVL,,0.006710641968089535,84.01,🔴 GAP UP,SELL/TRIM,73%,27%,62%,0.04882263185335401
ABAT,,0.006600394880095425,4.5599,🟢 MOMENTUM,HOLD,39%,62%,58%,0.10312685721225359
CEG,,0.006231758547244517,324.55,🔴 GAP UP,SELL/TRIM,82%,17%,67%,0.04927625028965967
MU,,0.005962971842209399,328.97,🟢 MOMENTUM,HOLD,31%,69%,58%,0.04942804780640046
UNH,,0.005650840023048542,348.81,🟢 MOMENTUM,HOLD,42%,55%,54%,0.024382927223031963
GOOG,[HOLD],0.005367903383190882,327.76,🟢 MOMENTUM,HOLD,31%,67%,53%,0.023169776864054685
HIMS,,0.005314469258686068,34.05,🔴 GAP UP,SELL/TRIM,75%,26%,67%,0.05369080709072379
VST,[HOLD],0.005179242130629384,151.38,🔴 GAP UP,SELL/TRIM,82%,18%,66%,0.051956672062106767
QBTS,,0.0047813972018910175,29.42,⚪ Flat,-,42%,63%,63%,0.08743811233673263
DDOG,,0.004438378915873883,131.26,⚪ Flat,-,84%,16%,65%,0.03827072921488675
NET,,0.004385928844064344,187.78,⚪ Flat,-,80%,25%,63%,0.04007210956227781
FUBO,,0.004032250342582586,2.49,⚪ Flat,-,83%,18%,66%,0.04988389117258321
TSM,[HOLD],0.0038677720719593645,319.24,⚪ Flat,-,44%,61%,55%,0.027734384390275653
UUUU,[HOLD],0.0037654570649567707,18.66,⚪ Flat,-,32%,71%,59%,0.06953945325211042
NVDA,[HOLD],0.0037289598946331536,185.73,⚪ Flat,-,55%,46%,55%,0.0297100884718145
BROS,,0.0036472981557275886,63.29,⚪ Flat,-,42%,60%,54%,0.036897249764830824
BND,,0.0036422872870076587,74.4,⚪ Flat,-,55%,46%,54%,0.0022596398200075986
OKLO,,0.0033811632278499867,97.93,⚪ Flat,-,39%,66%,61%,0.07880509701964306
IONQ,,0.0027750096123565107,50.59,⚪ Flat,-,53%,48%,65%,0.07343025630429827
ANET,,0.002748131069691441,124.06,⚪ Flat,-,74%,32%,65%,0.03894751480692166
PLTR,,0.0025443819297493626,177.31,⚪ Flat,-,62%,44%,60%,0.044291807389736336
STX,,0.00249586520986456,285.18,⚪ Flat,-,53%,47%,63%,0.06294372329439044
IREN,[HOLD],0.002408049345213213,45.79,⚪ Flat,-,44%,60%,63%,0.09040144833596368
SNOW,,0.002234267522533424,224.29,⚪ Flat,-,61%,41%,55%,0.035601639853235154
UPST,,0.0017782926015225582,50.7,⚪ Flat,-,33%,62%,58%,0.049097486355677594
MGK,,0.0016018280772236956,412.69,⚪ Flat,-,67%,33%,55%,0.01181993536270269
NLR,,0.0015917319690770732,138.43,⚪ Flat,-,32%,69%,55%,0.031125100433684768
AMD,[HOLD],0.0014657383962972856,204.98,⚪ Flat,-,80%,26%,68%,0.04322677749762592
TSLA,,0.0011473433250043991,436.3,⚪ Flat,-,68%,37%,60%,0.037477378984349975
DUOL,[HOLD],0.0010927985745006776,174.06,⚪ Flat,-,81%,24%,64%,0.05136614417632243
NVTS,[HOLD],0.0009939940324259016,10.07,⚪ Flat,-,34%,71%,59%,0.0709398268002601
HOOD,,0.0009532941410296133,115.5,⚪ Flat,-,68%,37%,63%,0.050999485216813356
U,,0.0008834192089557834,45.32,⚪ Flat,-,51%,48%,59%,0.04671389505168311
SPOT,,0.0007585741398907956,554.1,⚪ Flat,-,74%,31%,61%,0.03207856428542662
EOSE,,0.0007132340877200308,14.03,⚪ Flat,-,43%,60%,64%,0.07716187862048429
VOO,[HOLD],0.000583544842492619,634.43,⚪ Flat,-,47%,48%,53%,0.008309527534026943
V,,0.00019870258492710608,352.3,⚪ Flat,-,46%,57%,53%,0.015911229962842582
ON,,0.0001642406052193396,60.9,⚪ Flat,-,29%,73%,51%,0.03277603595188452
CRWD,,0.0,463.8699951171875,⚪ Flat,-,74%,32%,61%,0.03292409799033608
FI,,0.0,69.5,⚪ Flat,-,43%,53%,60%,0.02854424524398495
SMR,[HOLD],0.0,19.670000076293945,⚪ Flat,-,43%,61%,66%,0.08973463842145499
LTBR,,-3.788650154837671e-08,16.11,⚪ Flat,-,40%,57%,66%,0.0786754978968367
DOCN,,-0.00019060835659325196,52.46,⚪ Flat,-,48%,63%,57%,0.04379287586208818
PANW,,-0.00020965959705446165,190.76,⚪ Flat,-,56%,45%,55%,0.0252432371148476
BRK-B,,-0.000280106882664477,499.63,⚪ Flat,-,62%,40%,55%,0.01303385271248093
GLD,,-0.0005346186774791701,411.27,⚪ Flat,-,36%,69%,55%,0.016017335892194437
UBER,,-0.0005707996344439941,87.54,⚪ Flat,-,42%,59%,54%,0.027560596620335335
AMZN,,-0.00081202359651073,246.09,⚪ Flat,-,31%,73%,51%,0.021449602748343035
ORCL,,-0.001054542066547853,189.45,⚪ Flat,-,75%,28%,66%,0.0402793291512386
ADBE,,-0.001445282363650421,338.55,⚪ Flat,-,64%,41%,59%,0.02486546114335714
SHOP,,-0.0016638862688851091,168.0,⚪ Flat,-,47%,52%,58%,0.03679490051981009
